total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
5,5,7,SIMEONOV Nino Violetov,15163,2007-04-10,16.3,M,BUL,A,54.65,55 kg Men,0,0,579,European Junior Championships,2023-07-24,-93,93,-95,93,107,111,-113,111,204
6,6,8,PAPOLTI Narcis,12491,2007-02-09,16.5,M,ROU,A,54.7,55 kg Men,0,0,579,European Junior Championships,2023-07-24,90,-95,-95,90,110,-115,-115,110,200
7,7,5,DZOBAK Alexandr,4535,2004-02-14,19.4,M,CZE,A,52,55 kg Men,0,0,579,European Junior Championships,2023-07-24,81,85,87,87,101,108,112,112,199
NA,NA,6,COMERZAN Andrian,3594,2005-10-11,17.8,M,MDA,A,54.7,55 kg Men,0,0,579,European Junior Championships,2023-07-24,-90,-90,-90,NA,107,-112,112,112,NA
1,1,2,COTRUTA Andreea,3673,2003-11-11,19.7,W,ROU,A,54.65,55 kg Women,0,0,579,European Junior Championships,2023-07-24,85,88,-91,88,105,110,-115,110,198
2,2,1,DELIA Celine Ludovica,4098,2005-09-09,17.9,W,ITA,A,54.25,55 kg Women,0,0,579,European Junior Championships,2023-07-24,82,84,-87,84,105,110,-115,110,194
3,3,3,MYJAK Malgorzata Katarzyna,11373,2004-09-25,18.8,W,POL,A,54.25,55 kg Women,0,0,579,European Junior Championships,2023-07-24,80,-83,83,83,93,-99,-99,93,176
4,4,4,VANDENABEELE Annelien,16849,2004-11-26,18.7,W,BEL,A,54.8,55 kg Women,0,0,579,European Junior Championships,2023-07-24,74,77,79,79,90,93,-95,93,172
5,5,5,SAKHARUK Daryna,14299,2005-07-23,18,W,UKR,A,54.95,55 kg Women,0,0,579,European Junior Championships,2023-07-24,73,75,-78,75,87,90,92,92,167
6,6,7,LENVIK Ronja,9189,2004-04-07,19.3,W,NOR,A,54.3,55 kg Women,0,0,579,European Junior Championships,2023-07-24,70,73,75,75,88,91,-94,91,166
7,7,6,FURTH Ela,5306,2004-08-15,18.9,W,ISR,A,54.95,55 kg Women,0,0,579,European Junior Championships,2023-07-24,71,-74,-74,71,91,-93,-94,91,162
8,8,8,KECSKES Karina,7944,2005-10-03,17.8,W,HUN,A,55,55 kg Women,0,0,579,European Junior Championships,2023-07-24,-70,70,-75,70,-90,90,-95,90,160
9,9,9,PRIGENT MADEC Theoline,13150,2005-05-27,18.2,W,FRA,A,55,55 kg Women,0,0,579,European Junior Championships,2023-07-24,-66,66,70,70,86,-91,-91,86,156
10,10,10,ASIMOPOULOU Stefania Maria,1472,2004-03-04,19.4,W,GRE,A,52.95,55 kg Women,0,0,579,European Junior Championships,2023-07-24,-50,50,54,54,60,64,67,67,121
1,1,1,SAMULIAK Svitlana,14406,2003-07-19,20,W,UKR,A,58.75,59 kg Women,0,0,579,European Junior Championships,2023-07-24,93,96,98,98,111,114,117,117,215
2,2,2,IVZHENKO Olha,7181,2003-10-06,19.8,W,UKR,A,58.65,59 kg Women,0,0,579,European Junior Championships,2023-07-24,91,-94,-94,91,106,110,113,113,204
